Case #1: 153
1 2 371408
1 3 218749
1 4 251343
1 5 96435
1 6 413283
1 7 254713
1 8 296248
1 9 345787
1 10 209292
1 11 369143
1 12 355430
1 13 266973
1 14 62496
1 15 236701
1 16 269063
1 17 398686
1 18 444193
2 3 206996
2 4 204167
2 5 295031
2 6 184617
2 7 242960
2 8 347608
2 9 299259
2 10 162116
2 11 321967
2 12 319907
2 13 318333
2 14 328970
2 15 263404
2 16 295766
2 17 46601
2 18 277724
3 4 129982
3 5 122314
3 6 194534
3 7 280592
3 8 326756
3 9 326221
3 10 172033
3 11 331884
3 12 161891
3 13 297481
3 14 156253
3 15 280620
3 16 286624
3 17 253597
3 18 474701
4 5 174966
4 6 324516
4 7 250048
4 8 273203
4 9 196239
4 10 42051
4 11 201902
4 12 175591
4 13 243928
4 14 208905
4 15 189004
4 16 156642
4 17 231445
4 18 362598
5 6 316848
5 7 158278
5 8 204442
5 9 286667
5 10 132915
5 11 292766
5 12 284205
5 13 175167
5 14 33939
5 15 171541
5 16 203903
5 17 322309
5 18 352387
6 7 230498
6 8 255406
6 9 454731
6 10 342203
6 11 182352
6 12 356425
6 13 284681
6 14 350787
6 15 339610
6 16 359319
6 17 231218
6 18 403351
7 8 304170
7 9 362185
7 10 207997
7 11 185214
7 12 365788
7 13 333445
7 14 192217
7 15 329819
7 16 362181
7 17 289561
7 18 452115
8 9 199325
8 10 256704
8 11 118956
8 12 202928
8 13 29275
8 14 233752
8 15 84204
8 16 116561
8 17 301007
8 18 147945
9 10 154188
9 11 314039
9 12 233855
9 13 170050
9 14 283291
9 15 115126
9 16 147488
9 17 325889
9 18 288720
10 11 159851
10 12 157791
10 13 285979
10 14 166854
10 15 231055
10 16 198693
10 17 189394
10 18 404649
11 12 317642
11 13 148231
11 14 326705
11 15 203160
11 16 176967
11 17 349245
11 18 266901
12 13 173653
12 14 318144
12 15 118729
12 16 151091
12 17 335532
12 18 350873
13 14 204477
13 15 54929
13 16 87286
13 17 271732
13 18 177220
14 15 205480
14 16 237842
14 17 356248
14 18 381697
15 16 32362
15 17 216803
15 18 232149
16 17 249165
16 18 264506
17 18 324325
Case #2: 191
1 2 393967
1 3 548982
1 4 750190
1 6 814270
1 8 887861
1 10 700292
1 12 29800
1 13 868148
1 14 722211
1 16 995578
1 17 613141
1 18 495783
1 20 358281
1 23 812669
1 24 483171
1 25 778287
2 3 715921
2 4 814527
2 5 908010
2 6 420303
2 7 612645
2 8 493894
2 9 916014
2 10 306325
2 11 713623
