| Team Name                      | School                                        |   # Solved |   Penalty |
|--------------------------------+-----------------------------------------------+------------+-----------|
| MIT ZEROONE                    | Massachusetts Institute of Technology         |         13 |       935 |
| Waterloo Black                 | University of Waterloo                        |         11 |       750 |
| CMU2                           | Carnegie Mellon University                    |          9 |       462 |
| UCF Slow Cooker                | University of Central Florida                 |          9 |       566 |
| cout << 1/0 << endl;           | Swarthmore College                            |          9 |       582 |
| U of T Blue                    | University of Toronto                         |          9 |       600 |
| MIT ZEROFOUR                   | Massachusetts Institute of Technology         |          9 |       603 |
| UCSD Team 1                    | University of California, San Diego           |          9 |       635 |
| UCF Iron                       | University of Central Florida                 |          9 |       695 |
| Waterloo Red                   | University of Waterloo                        |          9 |       705 |
| CMU1                           | Carnegie Mellon University                    |          9 |       714 |
| Purdue RE                      | Purdue University                             |          9 |       726 |
| GT 01                          | Georgia Institute of Technology               |          9 |       893 |
| Berkeley Blue                  | University of California, Berkeley            |          9 |      1133 |
| UT O(range)                    | University of Texas at Austin                 |          8 |       433 |
| UCLA Ice Cream Sandwich        | University of California, Los Angeles         |          8 |       635 |
| Rutgers - 5 Hour Energy        | Rutgers University                            |          8 |       638 |
| UNC_Alternate                  | University of North Carolina at Chapel Hill   |          8 |       660 |
| NEU 1                          | Northeastern University                       |          8 |       677 |
| 1-gon di-gon dra-gon           | University of Washington                      |          8 |       684 |
| UCSD - Forgot to Register      | University of California, San Diego           |          8 |       706 |
| Rochester #1                   | University of Rochester                       |          8 |       707 |
| UTSC A                         | University of Toronto                         |          8 |       732 |
| Sublinear Substring Seekers    | Ohio State University                         |          8 |       733 |
| tamoo                          | Texas A&M University                          |          8 |       793 |
| teamname or NP = D?(AdjP)*N... | University of Wisconsin–Madison               |          8 |       816 |
| Stanford Cardinal              | Stanford University                           |          8 |       837 |
| UBC O(1)                       | University of British Columbia                |          8 |       922 |
| Yale-Yale                      | Yale University                               |          8 |       979 |
| UBC************                | University of British Columbia                |          8 |      1066 |
| GNS-Software                   | University of Wisconsin–Madison               |          8 |      1069 |
