| Team Name                      | School                                                |   # Solved |   Penalty |
|--------------------------------+-------------------------------------------------------+------------+-----------|
| Waterloo Black                 | University of Waterloo                                |         14 |      1075 |
| cout << 1/0 << endl;           | Swarthmore College                                    |         14 |      1167 |
| Waterloo Gold                  | University of Waterloo                                |         14 |      1251 |
| Longest SubRoutine             | University of Wisconsin–Madison                       |         14 |      1381 |
| MIT: Mex Foundation            | Massachusetts Institute of Technology                 |         14 |      1451 |
| UT Moo Moo Meadows             | University of Texas at Austin                         |         13 |      1287 |
| UCF Iris                       | University of Central Florida                         |         13 |      1356 |
| UIUC 6                         | University of Illinois at Urbana–Champaign            |         13 |      1517 |
| One                            | Stanford University                                   |         13 |      1723 |
| Micro-Blizzard                 | Georgia Institute of Technology                       |         13 |      1811 |
| UCLA 1                         | University of California, Los Angeles                 |         13 |      1884 |
| team team team                 | Rutgers University                                    |         12 |       927 |
| Oranges                        | Massachusetts Institute of Technology                 |         12 |      1043 |
| Mathew Agar                    | University of Toronto                                 |         12 |      1297 |
| descomUNAL                     | National University of Colombia                       |         12 |      1388 |
| PU_Old_Person                  | Purdue University                                     |         12 |      1393 |
| UIUC 3                         | University of Illinois at Urbana–Champaign            |         12 |      1672 |
| UT O(range)                    | University of Texas at Austin                         |         11 |       786 |
| UT Saffron                     | University of Texas at Austin                         |         11 |       816 |
| UCLA 3                         | University of California, Los Angeles                 |         11 |       851 |
| Koichi Namekata                | University of Toronto                                 |         11 |       912 |
| UT Chartreuse                  | University of Texas at Austin                         |         11 |       942 |
| smax                           | Georgia Institute of Technology                       |         11 |      1038 |
| Hai San Generations :3         | Binus University                                      |         11 |      1041 |
| Two                            | Stanford University                                   |         11 |      1054 |
| Wesley Leung                   | University of Waterloo                                |         11 |      1087 |
| very cool icpc team            | San José State University                             |         11 |      1100 |
| UT Ultramarine                 | University of Texas at Austin                         |         11 |      1210 |
| UCF Lotus                      | University of Central Florida                         |         11 |      1226 |
| Rice Owls                      | Rice University                                       |         11 |      1229 |
| Victors                        | University of Michigan                                |         11 |      1249 |
| Alberta Aqua                   | University of Alberta                                 |         11 |      1274 |
| UCF Nightshade                 | University of Central Florida                         |         11 |      1357 |
| Lavender                       | Simon Fraser University                               |         11 |      1563 |
| 3 Hour Energy                  | Rutgers University                                    |         10 |       678 |
| \backslash                     | University of Texas at Austin                         |         10 |       689 |
| CWRU1                          | Case Western Reserve University                       |         10 |       879 |
| Devin Qu                       | Purdue University                                     |         10 |       898 |
| FALSE                          | University of Texas at Austin                         |         10 |       937 |
| Proof by Coming Back to CP     | Binus University                                      |         10 |       947 |
| SBU Team 1                     | Stony Brook University                                |         10 |       949 |
| We are dumb                    | Columbia University                                   |         10 |       952 |
| SFU_Azure                      | Simon Fraser University                               |         10 |      1020 |
| UIUC 5                         | University of Illinois at Urbana–Champaign            |         10 |      1021 |
| Kotlinaughts                   | Milwaukee School of Engineering                       |         10 |      1033 |
| Leones (0,0,0);                | University of Guadalajara                             |         10 |      1057 |
| agmognus                       | Rutgers University                                    |         10 |      1129 |
| Comets1                        | University of Texas at Dallas                         |         10 |      1144 |
| uofm_arceus                    | University of Michigan                                |         10 |      1164 |
