| Team Name                      | School                                      |   # Solved |   Penalty |
|--------------------------------+---------------------------------------------+------------+-----------|
| MIT ZEROONE                    | Massachusetts Institute of Technology       |          8 |       292 |
| aqtdab                         | University of Waterloo                      |          8 |       330 |
| Waterloo Gold                  | University of Waterloo                      |          8 |       452 |
| cout << 1/0 << endl;           | Swarthmore College                          |          8 |       475 |
| Waterloo White                 | University of Waterloo                      |          8 |       522 |
| UIUC 3                         | University of Illinois at Urbana–Champaign  |          8 |       545 |
| UCLA 1                         | University of California, Los Angeles       |          8 |       793 |
| rpeng fan club                 | Georgia Institute of Technology             |          8 |       857 |
| logn/loglogn                   | University of British Columbia              |          8 |      1403 |
| Trung Dang                     | Purdue University                           |          7 |       283 |
| Riley Borgard                  | Purdue University                           |          7 |       361 |
| 5 - Hour Energy                | Rutgers University                          |          7 |       401 |
| UNC_Alternate                  | University of North Carolina at Chapel Hill |          7 |       442 |
| UCF Freezer                    | University of Central Florida               |          7 |       465 |
| UCLA 3                         | University of California, Los Angeles       |          7 |       467 |
| Bear1                          | University of California, Berkeley          |          7 |       473 |
| Stanford Cardinal              | Stanford University                         |          7 |       478 |
| Bear23                         | University of California, Berkeley          |          7 |       480 |
| UIUC 2                         | University of Illinois at Urbana–Champaign  |          7 |       505 |
| team 1                         | Duke University                             |          7 |       544 |
| Procrastinating 2 Assignmen... | McGill University                           |          7 |       589 |
| davidberard                    | University of British Columbia              |          7 |       597 |
| Comets 1                       | The University of Texas at Dallas           |          7 |       650 |
| Sublinear Substring Seekers    | Ohio State University                       |          7 |       684 |
| tmt514                         | University of Michigan                      |          6 |       216 |
| tamoo                          | Texas A&M University                        |          6 |       217 |
| Mong-En Ip                     | University of Central Florida               |          6 |       269 |
| ToTAMOon                       | Texas A&M University                        |          6 |       270 |
| U of T White                   | University of Toronto                       |          6 |       286 |
| SFU_Lavender                   | Simon Fraser University                     |          6 |       289 |
| GT 01                          | Georgia Institute of Technology             |          6 |       292 |
| UIUC 11                        | University of Illinois at Urbana–Champaign  |          6 |       296 |
| UT O(range)                    | University of Texas at Austin               |          6 |       299 |
| MIT ZEROTWO                    | Massachusetts Institute of Technology       |          6 |       356 |
| SBU-Bitmasked Bandits          | Stony Brook University                      |          6 |       394 |
| Purdue-Coach                   | Purdue University                           |          6 |       398 |
| UT Ochre                       | University of Texas at Austin               |          6 |       405 |
| Yale                           | Yale University                             |          6 |       431 |
| Alberta Gray                   | University of Alberta                       |          6 |       448 |
| U of T Blue                    | University of Toronto                       |          6 |       449 |
| Team 1!                        | University of North Texas                   |          6 |       476 |
| UBC O(1)                       | University of British Columbia              |          6 |       580 |
| Yibo Huang                     | Virginia Tech                               |          6 |       592 |
| UCI Retired Ol Pals            | University of California, Irvine            |          6 |       643 |
| BJU Bruins 1                   | Bob Jones University                        |          6 |       749 |
| GT 07                          | Georgia Institute of Technology             |          6 |       768 |
| GT 02                          | Georgia Institute of Technology             |          5 |       117 |
| The ineligibles                | Texas A&M University                        |          5 |       129 |
| UT Brown                       | University of Texas at Austin               |          5 |       131 |
| UCLA 2                         | University of California, Los Angeles       |          5 |       144 |
| Stevens-1                      | Stevens Institute of Technology             |          5 |       168 |
| UT Apple (suggested by Jame... | University of Texas at Austin               |          5 |       168 |
| Crystal Sharpe                 | Mount Allison University                    |          5 |       170 |
| UIUC 9                         | University of Illinois at Urbana–Champaign  |          5 |       173 |
| Bear7                          | University of California, Berkeley          |          5 |       193 |
| Slack Overflow                 | North Carolina State University             |          5 |       198 |
| Bear20                         | University of California, Berkeley          |          5 |       210 |
| Bear9                          | University of California, Berkeley          |          5 |       214 |
| richzli                        | Purdue University                           |          5 |       215 |
| Unordered_set                  | University of Florida                       |          5 |       219 |
| breathe_in_boi                 | University of Texas at Austin               |          5 |       219 |
| Deque                          | University of Florida                       |          5 |       220 |
| Rockets in 4                   | University of Texas at Austin               |          5 |       223 |
| Comets 3                       | The University of Texas at Dallas           |          5 |       230 |
| Bear5                          | University of California, Berkeley          |          5 |       238 |
| Rockin' Roblox                 | Texas A&M University                        |          5 |       252 |
| wasp                           | McGill University                           |          5 |       254 |
| Default Team                   | Purdue University                           |          5 |       255 |
| Ruborcalor                     | McGill University                           |          5 |       256 |
| Poly 1                         | New York University                         |          5 |       257 |
| University of Lethbridge WA    | University of Lethbridge                    |          5 |       263 |
| byu-ints                       | Brigham Young University                    |          5 |       268 |
| Lafayette 3                    | Lafayette College                           |          5 |       271 |
| Comets4                        | The University of Texas at Dallas           |          5 |       272 |
| Stanford White                 | Stanford University                         |          5 |       275 |
| FnEscVictory                   | Rutgers University                          |          5 |       277 |
| UT Fulvous                     | University of Texas at Austin               |          5 |       283 |
| Supermind_Taichi_Master        | Vanderbilt University                       |          5 |       287 |
| SBU-What’s a DP?               | Stony Brook University                      |          5 |       298 |
| Rochester #6                   | University of Rochester                     |          5 |       299 |
| \7                             | Texas A&M University                        |          5 |       309 |
| Comets 2                       | The University of Texas at Dallas           |          5 |       311 |
| go penguinz                    | San José State University                   |          5 |       321 |
| UCLA 5                         | University of California, Los Angeles       |          5 |       326 |
| Problem G Gang                 | Rutgers University                          |          5 |       335 |
| andrewting                     | University of British Columbia              |          5 |       338 |
| Rochester #3                   | University of Rochester                     |          5 |       338 |
| .rem                           | University of British Columbia              |          5 |       339 |
| UIUC 5                         | University of Illinois at Urbana–Champaign  |          5 |       355 |
| Ryan Dancy                     | University of Waterloo                      |          5 |       361 |
| GT 03                          | Georgia Institute of Technology             |          5 |       368 |
| Tim Dong                       | Washington University in St. Louis          |          5 |       369 |
| Utah Z                         | University of Utah                          |          5 |       382 |
| UBC01                          | University of British Columbia              |          5 |       387 |
| SBU-NON CS MAJORS              | Stony Brook University                      |          5 |       390 |
