Battle #1: Oh no, the autobots are doomed!
Battle #2: Oh no, the autobots are doomed!
Battle #3: Oh no, the autobots are doomed!
Battle #4: Oh no, the autobots are doomed!
Battle #5: Oh no, the autobots are doomed!
Battle #6: Oh no, the autobots are doomed!
Battle #7: Oh no, the autobots are doomed!
Battle #8: Oh no, the autobots are doomed!
Battle #9: Oh no, the autobots are doomed!
Battle #10: Oh no, the autobots are doomed!
Battle #11: Oh no, the autobots are doomed!
Battle #12: Oh no, the autobots are doomed!
Battle #13: Oh no, the autobots are doomed!
Battle #14: Oh no, the autobots are doomed!
Battle #15: Oh no, the autobots are doomed!
Battle #16: Oh no, the autobots are doomed!
Battle #17: Oh no, the autobots are doomed!
Battle #18: Oh no, the autobots are doomed!
Battle #19: Oh no, the autobots are doomed!
Battle #20: Oh no, the autobots are doomed!
Battle #21: Oh no, the autobots are doomed!
Battle #22: Oh no, the autobots are doomed!
Battle #23: Oh no, the autobots are doomed!
Battle #24: Oh no, the autobots are doomed!
Battle #25: Oh no, the autobots are doomed!
Battle #26: Oh no, the autobots are doomed!
Battle #27: Oh no, the autobots are doomed!
Battle #28: Oh no, the autobots are doomed!
Battle #29: Oh no, the autobots are doomed!
Battle #30: Oh no, the autobots are doomed!
Battle #31: Oh no, the autobots are doomed!
Battle #32: Oh no, the autobots are doomed!
Battle #33: Oh no, the autobots are doomed!
Battle #34: Oh no, the autobots are doomed!
Battle #35: Oh no, the autobots are doomed!
Battle #36: Oh no, the autobots are doomed!
Battle #37: Oh no, the autobots are doomed!
Battle #38: Oh no, the autobots are doomed!
Battle #39: Oh no, the autobots are doomed!
Battle #40: Oh no, the autobots are doomed!
Battle #41: Oh no, the autobots are doomed!
Battle #42: Oh no, the autobots are doomed!
Battle #43: Oh no, the autobots are doomed!
Battle #44: Oh no, the autobots are doomed!
Battle #45: Oh no, the autobots are doomed!
Battle #46: Oh no, the autobots are doomed!
Battle #47: Oh no, the autobots are doomed!
Battle #48: Oh no, the autobots are doomed!
Battle #49: Oh no, the autobots are doomed!
Battle #50: Oh no, the autobots are doomed!
Battle #51: Oh no, the autobots are doomed!
Battle #52: Oh no, the autobots are doomed!
Battle #53: Oh no, the autobots are doomed!
Battle #54: Oh no, the autobots are doomed!
Battle #55: Oh no, the autobots are doomed!
Battle #56: Oh no, the autobots are doomed!
Battle #57: Oh no, the autobots are doomed!
Battle #58: Oh no, the autobots are doomed!
Battle #59: Oh no, the autobots are doomed!
Battle #60: Oh no, the autobots are doomed!
Battle #61: Oh no, the autobots are doomed!
Battle #62: Oh no, the autobots are doomed!
Battle #63: Oh no, the autobots are doomed!
Battle #64: Oh no, the autobots are doomed!
Battle #65: Oh no, the autobots are doomed!
Battle #66: Autobots, roll out!
Battle #67: Oh no, the autobots are doomed!
Battle #68: Oh no, the autobots are doomed!
Battle #69: Oh no, the autobots are doomed!
Battle #70: Oh no, the autobots are doomed!
Battle #71: Oh no, the autobots are doomed!
Battle #72: Oh no, the autobots are doomed!
Battle #73: Oh no, the autobots are doomed!
Battle #74: Oh no, the autobots are doomed!
Battle #75: Oh no, the autobots are doomed!
Battle #76: Oh no, the autobots are doomed!
Battle #77: Oh no, the autobots are doomed!
Battle #78: Oh no, the autobots are doomed!
Battle #79: Autobots, roll out!
Battle #80: Oh no, the autobots are doomed!
Battle #81: Oh no, the autobots are doomed!
Battle #82: Oh no, the autobots are doomed!
Battle #83: Oh no, the autobots are doomed!
Battle #84: Oh no, the autobots are doomed!
Battle #85: Oh no, the autobots are doomed!
Battle #86: Oh no, the autobots are doomed!
Battle #87: Oh no, the autobots are doomed!
Battle #88: Oh no, the autobots are doomed!
Battle #89: Oh no, the autobots are doomed!
Battle #90: Oh no, the autobots are doomed!
Battle #91: Oh no, the autobots are doomed!
Battle #92: Oh no, the autobots are doomed!
Battle #93: Oh no, the autobots are doomed!
Battle #94: Oh no, the autobots are doomed!
Battle #95: Oh no, the autobots are doomed!
Battle #96: Oh no, the autobots are doomed!
Battle #97: Oh no, the autobots are doomed!
Battle #98: Oh no, the autobots are doomed!
Battle #99: Oh no, the autobots are doomed!
Battle #100: Oh no, the autobots are doomed!
Battle #101: Oh no, the autobots are doomed!
Battle #102: Oh no, the autobots are doomed!
Battle #103: Oh no, the autobots are doomed!
Battle #104: Oh no, the autobots are doomed!
Battle #105: Oh no, the autobots are doomed!
Battle #106: Oh no, the autobots are doomed!
Battle #107: Oh no, the autobots are doomed!
Battle #108: Oh no, the autobots are doomed!
Battle #109: Oh no, the autobots are doomed!
Battle #110: Oh no, the autobots are doomed!
Battle #111: Oh no, the autobots are doomed!
Battle #112: Oh no, the autobots are doomed!
Battle #113: Oh no, the autobots are doomed!
Battle #114: Oh no, the autobots are doomed!
Battle #115: Oh no, the autobots are doomed!
Battle #116: Oh no, the autobots are doomed!
Battle #117: Oh no, the autobots are doomed!
Battle #118: Oh no, the autobots are doomed!
Battle #119: Oh no, the autobots are doomed!
Battle #120: Oh no, the autobots are doomed!
Battle #121: Oh no, the autobots are doomed!
Battle #122: Oh no, the autobots are doomed!
Battle #123: Oh no, the autobots are doomed!
Battle #124: Oh no, the autobots are doomed!
Battle #125: Oh no, the autobots are doomed!
Battle #126: Oh no, the autobots are doomed!
Battle #127: Oh no, the autobots are doomed!
Battle #128: Oh no, the autobots are doomed!
Battle #129: Oh no, the autobots are doomed!
Battle #130: Oh no, the autobots are doomed!
Battle #131: Oh no, the autobots are doomed!
Battle #132: Oh no, the autobots are doomed!
Battle #133: Oh no, the autobots are doomed!
Battle #134: Oh no, the autobots are doomed!
Battle #135: Oh no, the autobots are doomed!
Battle #136: Oh no, the autobots are doomed!
Battle #137: Oh no, the autobots are doomed!
Battle #138: Oh no, the autobots are doomed!
Battle #139: Oh no, the autobots are doomed!
Battle #140: Autobots, roll out!
Battle #141: Oh no, the autobots are doomed!
Battle #142: Oh no, the autobots are doomed!
Battle #143: Oh no, the autobots are doomed!
Battle #144: Oh no, the autobots are doomed!
Battle #145: Oh no, the autobots are doomed!
Battle #146: Oh no, the autobots are doomed!
Battle #147: Oh no, the autobots are doomed!
Battle #148: Oh no, the autobots are doomed!
Battle #149: Oh no, the autobots are doomed!
Battle #150: Oh no, the autobots are doomed!
Battle #151: Oh no, the autobots are doomed!
Battle #152: Oh no, the autobots are doomed!
Battle #153: Oh no, the autobots are doomed!
Battle #154: Oh no, the autobots are doomed!
Battle #155: Oh no, the autobots are doomed!
Battle #156: Oh no, the autobots are doomed!
Battle #157: Autobots, roll out!
Battle #158: Oh no, the autobots are doomed!
Battle #159: Oh no, the autobots are doomed!
Battle #160: Oh no, the autobots are doomed!
Battle #161: Oh no, the autobots are doomed!
Battle #162: Oh no, the autobots are doomed!
Battle #163: Oh no, the autobots are doomed!
Battle #164: Oh no, the autobots are doomed!
Battle #165: Oh no, the autobots are doomed!
Battle #166: Autobots, roll out!
Battle #167: Oh no, the autobots are doomed!
Battle #168: Oh no, the autobots are doomed!
Battle #169: Oh no, the autobots are doomed!
Battle #170: Oh no, the autobots are doomed!
Battle #171: Oh no, the autobots are doomed!
Battle #172: Oh no, the autobots are doomed!
Battle #173: Oh no, the autobots are doomed!
Battle #174: Oh no, the autobots are doomed!
Battle #175: Oh no, the autobots are doomed!
Battle #176: Oh no, the autobots are doomed!
Battle #177: Oh no, the autobots are doomed!
Battle #178: Oh no, the autobots are doomed!
Battle #179: Oh no, the autobots are doomed!
Battle #180: Oh no, the autobots are doomed!
Battle #181: Oh no, the autobots are doomed!
Battle #182: Oh no, the autobots are doomed!
Battle #183: Oh no, the autobots are doomed!
Battle #184: Oh no, the autobots are doomed!
Battle #185: Oh no, the autobots are doomed!
Battle #186: Oh no, the autobots are doomed!
Battle #187: Oh no, the autobots are doomed!
Battle #188: Oh no, the autobots are doomed!
Battle #189: Oh no, the autobots are doomed!
Battle #190: Oh no, the autobots are doomed!
Battle #191: Oh no, the autobots are doomed!
Battle #192: Oh no, the autobots are doomed!
Battle #193: Oh no, the autobots are doomed!
Battle #194: Oh no, the autobots are doomed!
Battle #195: Oh no, the autobots are doomed!
Battle #196: Oh no, the autobots are doomed!
Battle #197: Oh no, the autobots are doomed!
Battle #198: Oh no, the autobots are doomed!
Battle #199: Oh no, the autobots are doomed!
Battle #200: Oh no, the autobots are doomed!
Battle #201: Oh no, the autobots are doomed!
Battle #202: Oh no, the autobots are doomed!
Battle #203: Oh no, the autobots are doomed!
Battle #204: Oh no, the autobots are doomed!
Battle #205: Oh no, the autobots are doomed!
Battle #206: Oh no, the autobots are doomed!
Battle #207: Oh no, the autobots are doomed!
Battle #208: Oh no, the autobots are doomed!
Battle #209: Oh no, the autobots are doomed!
Battle #210: Oh no, the autobots are doomed!
Battle #211: Oh no, the autobots are doomed!
Battle #212: Oh no, the autobots are doomed!
Battle #213: Oh no, the autobots are doomed!
Battle #214: Oh no, the autobots are doomed!
Battle #215: Oh no, the autobots are doomed!
Battle #216: Oh no, the autobots are doomed!
Battle #217: Oh no, the autobots are doomed!
Battle #218: Oh no, the autobots are doomed!
Battle #219: Oh no, the autobots are doomed!
Battle #220: Oh no, the autobots are doomed!
Battle #221: Autobots, roll out!
Battle #222: Oh no, the autobots are doomed!
Battle #223: Oh no, the autobots are doomed!
Battle #224: Oh no, the autobots are doomed!
Battle #225: Oh no, the autobots are doomed!
Battle #226: Oh no, the autobots are doomed!
Battle #227: Oh no, the autobots are doomed!
Battle #228: Oh no, the autobots are doomed!
Battle #229: Oh no, the autobots are doomed!
Battle #230: Oh no, the autobots are doomed!
Battle #231: Oh no, the autobots are doomed!
Battle #232: Oh no, the autobots are doomed!
Battle #233: Oh no, the autobots are doomed!
Battle #234: Oh no, the autobots are doomed!
Battle #235: Oh no, the autobots are doomed!
Battle #236: Oh no, the autobots are doomed!
Battle #237: Autobots, roll out!
Battle #238: Oh no, the autobots are doomed!
Battle #239: Oh no, the autobots are doomed!
Battle #240: Oh no, the autobots are doomed!
Battle #241: Oh no, the autobots are doomed!
Battle #242: Oh no, the autobots are doomed!
Battle #243: Oh no, the autobots are doomed!
Battle #244: Oh no, the autobots are doomed!
Battle #245: Oh no, the autobots are doomed!
Battle #246: Oh no, the autobots are doomed!
Battle #247: Oh no, the autobots are doomed!
Battle #248: Oh no, the autobots are doomed!
Battle #249: Oh no, the autobots are doomed!
Battle #250: Oh no, the autobots are doomed!
Battle #251: Oh no, the autobots are doomed!
Battle #252: Oh no, the autobots are doomed!
Battle #253: Oh no, the autobots are doomed!
Battle #254: Autobots, roll out!
Battle #255: Oh no, the autobots are doomed!
Battle #256: Oh no, the autobots are doomed!
Battle #257: Autobots, roll out!
Battle #258: Oh no, the autobots are doomed!
Battle #259: Autobots, roll out!
Battle #260: Autobots, roll out!
Battle #261: Autobots, roll out!
Battle #262: Autobots, roll out!
Battle #263: Autobots, roll out!
Battle #264: Oh no, the autobots are doomed!
Battle #265: Autobots, roll out!
Battle #266: Autobots, roll out!
Battle #267: Oh no, the autobots are doomed!
Battle #268: Oh no, the autobots are doomed!
Battle #269: Oh no, the autobots are doomed!
Battle #270: Oh no, the autobots are doomed!
Battle #271: Oh no, the autobots are doomed!
Battle #272: Autobots, roll out!
Battle #273: Oh no, the autobots are doomed!
Battle #274: Oh no, the autobots are doomed!
Battle #275: Oh no, the autobots are doomed!
Battle #276: Oh no, the autobots are doomed!
Battle #277: Oh no, the autobots are doomed!
Battle #278: Autobots, roll out!
Battle #279: Oh no, the autobots are doomed!
Battle #280: Oh no, the autobots are doomed!
Battle #281: Oh no, the autobots are doomed!
Battle #282: Oh no, the autobots are doomed!
Battle #283: Oh no, the autobots are doomed!
Battle #284: Oh no, the autobots are doomed!
Battle #285: Autobots, roll out!
Battle #286: Oh no, the autobots are doomed!
Battle #287: Oh no, the autobots are doomed!
Battle #288: Oh no, the autobots are doomed!
Battle #289: Oh no, the autobots are doomed!
Battle #290: Oh no, the autobots are doomed!
Battle #291: Oh no, the autobots are doomed!
Battle #292: Oh no, the autobots are doomed!
Battle #293: Autobots, roll out!
Battle #294: Autobots, roll out!
Battle #295: Oh no, the autobots are doomed!
Battle #296: Oh no, the autobots are doomed!
Battle #297: Oh no, the autobots are doomed!
Battle #298: Oh no, the autobots are doomed!
Battle #299: Autobots, roll out!
